;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Herzogtum Anhalt-Dessau-Köthen (ADK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Gesamtgebiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;111776;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;112791;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;113816;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;114850;0,91%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;116384;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;117939;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;119515;1,34%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;120996;1,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;122495;1,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;124013;1,24%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;126731;2,19%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;129509;2,19%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;132347;2,19%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Viebahn, Statistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
