Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;37046;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;37047;0,00%;1;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;39163;5,71%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;39080;-0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;38996;-0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;38913;-0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;38830;-0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;38747;-0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;38665;-0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;38582;-0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;38500;-0,21%;1;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;39618;2,90%;1;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;40811;3,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;42039;3,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;43305;3,01%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;43907;1,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;44517;1,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;45135;1,39%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;45292;0,35%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;45434;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;45576;0,31%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;45933;0,78%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;46039;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;46145;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;46252;0,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;46474;0,48%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;46696;0,48%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;46920;0,48%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;47553;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;48194;1,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;48844;1,35%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
