Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;188000;;2;1;Seit 1863 das Gebiet der vormaligen Einzel-Herzogtümer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;193046;2,68%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;194200;0,60%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;195500;0,67%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;197041;0,79%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;198000;0,49%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;200000;1,01%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;201900;0,95%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;203437;0,76%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;204700;0,62%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;206900;1,07%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;209500;1,26%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;213565;1,94%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;215800;1,05%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;219600;1,76%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;223400;1,73%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;227300;1,75%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;232592;2,33%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;234400;0,78%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;237600;1,37%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;240600;1,26%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;243500;1,21%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;248166;1,92%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;250400;0,90%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;254900;1,80%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;260200;2,08%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;265200;1,92%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;271963;2,55%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;274700;1,01%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;278900;1,53%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;283000;1,47%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;287200;1,48%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;293298;2,12%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;296100;0,96%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;300900;1,62%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;305500;1,53%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;310000;1,47%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;316085;1,96%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;318000;0,61%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;321300;1,04%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;324300;0,93%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;326000;0,52%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;328029;0,62%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;328900;0,27%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;329700;0,24%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;330300;0,18%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;330900;0,18%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;331128;0,07%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;331000;-0,04%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;331000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;332000;0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;333000;0,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Köllmann/Kraus, Bevölkerungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10: Stat. Jb. Dt. Reich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14: Stat. Handbuch f. d. Dt. Reich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
