;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Großherzogtum Baden (BAD);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Mittelrheinkreis (MRK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;403647;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;404821;0,29%;1;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;405979;0,29%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;410332;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;414732;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;419179;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;423674;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;428217;1,07%;1;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;433376;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;438598;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;443882;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;449230;1,20%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;452661;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;456119;0,76%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;460413;0,94%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;460343;-0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;460272;-0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;460202;-0,02%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;460918;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;461635;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;462353;0,16%;5;2;Ohne fremdes Militärpersonal (1852: 4610 Personen). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;456517;-1,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;450755;-1,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;445066;-1,26%;5;2;Ohne fremdes Militärpersonal (1855: 4804 Personen). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;449116;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;453203;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;457327;0,91%;5;2;Ohne fremdes Militärpersonal (1858: 4783 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;461442;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;465593;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;469782;0,90%;5;2;Ohne fremdes Militärpersonal (1861: 3249 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;474010;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;478276;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Viebahn, Statistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51: Staatshandbuch Baden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
