;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Großherzogtum Baden (BAD);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Seekreis (SEK) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;146265;;1;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;148983;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;151751;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;154570;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;157442;1,86%;1;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;159343;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;161266;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;163213;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;165183;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;167177;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;169195;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;171238;1,21%;1;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;171229;-0,01%;2;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;172345;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;173469;0,65%;1;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;174485;0,59%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;176152;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;177834;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;179533;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;181248;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;182979;0,96%;1;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;185186;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;187419;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;189679;1,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;191967;1,21%;3;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;191000;-0,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;190037;-0,50%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;191785;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;193549;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;195329;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;197126;0,92%;3;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;197776;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;198429;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;199083;0,33%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;197396;-0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;195724;-0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;194066;-0,85%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;194460;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;194854;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
