;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Großherzogtum Baden (BAD);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Unterrheinkreis (URK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;295025;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;307422;4,20%;1;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;320337;4,20%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;322206;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;324086;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;325977;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;327879;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;329792;0,58%;1;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;332904;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;336045;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;339215;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;342416;0,94%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;346010;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;349642;1,05%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;352423;0,80%;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;351402;-0,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;350383;-0,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;349368;-0,29%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;348436;-0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;347506;-0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;346578;-0,27%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;344693;-0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;342818;-0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;340953;-0,54%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;342928;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;344914;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;346911;0,58%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;349730;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;352571;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;355436;0,81%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;358315;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;361217;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Viebahn, Statistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51: Staatshandbuch Baden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
