Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1815;993414;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;1005899;1,26%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;1010300;0,44%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;1021976;1,16%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;1032276;1,01%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;1051388;1,85%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;1072554;2,01%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;1090910;1,71%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;1109430;1,70%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1119993;0,95%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;1132970;1,16%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;1145952;1,15%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;1164282;1,60%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;1176075;1,01%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;1188340;1,04%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;1200471;1,02%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;1203700;0,27%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;1210200;0,54%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;1220037;0,81%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;1230791;0,88%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;1232100;0,11%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;1244171;0,98%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;1263965;1,59%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;1270700;0,53%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;1277403;0,53%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;1296464;1,49%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;1294800;-0,13%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;1312457;1,36%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;1334865;1,71%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;1337408;0,19%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;1349884;0,93%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;1367486;1,30%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;1366700;-0,06%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;1365100;-0,12%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;1362774;-0,17%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;1361800;-0,07%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;1360000;-0,13%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;1361818;0,13%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;1350100;-0,86%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;1335900;-1,05%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;1319639;-1,22%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;1318300;-0,10%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;1325400;0,54%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;1340735;1,16%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;1341500;0,06%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;1352500;0,82%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;1372540;1,48%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;1378900;0,46%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;1398400;1,41%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;1432456;2,44%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;1429200;-0,23%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;1431500;0,16%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;1434970;0,24%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;1438800;0,27%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;1444900;0,42%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;1451500;0,46%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;1461562;0,69%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;1468600;0,48%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;1479900;0,77%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;1491400;0,78%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;1507179;1,06%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;1517000;0,65%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;1532200;1,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;1546200;0,91%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;1558700;0,81%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
