;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Bayern (BAY);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Oberdonaukreis (ODK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;477724;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;480704;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;483702;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;486719;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;489755;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;492809;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;495883;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;498976;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;502088;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;505220;0,62%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;507295;0,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;509379;0,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;511471;0,41%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;514507;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;517561;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;520633;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;523723;0,59%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;526813;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;529921;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;533048;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
