;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Bayern (BAY);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Obermainkreis (OMK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;474005;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;479294;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;484642;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;490050;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;495519;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;501048;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;506639;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;512292;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;518009;1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;523789;1,12%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;528442;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;533137;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;537873;0,89%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;541860;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;545877;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;549923;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;554000;0,74%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;558100;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;562230;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;566390;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
