;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Bayern (BAY);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regenkreis (RGK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;390450;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;393623;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;396821;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;400045;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;403296;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;406573;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;409876;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;413207;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;416564;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;419949;0,81%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;421838;0,45%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;423736;0,45%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;425642;0,45%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;429645;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;433686;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;437766;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;441883;0,94%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;446037;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;450229;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;454462;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
