Bevölkerung: Großherzogtum Hessen-Darmstadt (HED);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Rheinhessen (RHH);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;161701;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;164402;1,67%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;167148;1,67%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;170878;2,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;174692;2,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;178591;2,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;180987;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;183416;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;185877;1,34%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;187204;0,71%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;188541;0,71%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;189887;0,71%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;192205;1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;194552;1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;196927;1,22%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;199686;1,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;202483;1,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;205320;1,40%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;206890;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;208473;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;210067;0,76%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;211262;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;212463;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;213671;0,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;215129;0,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;216598;0,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;218076;0,68%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;220505;1,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;222961;1,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;225445;1,11%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;225500;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;225555;0,02%;5;;Als Kommissarbezirk der Provinzhauptstadt (Ebene Provinz).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;225610;0,02%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;225622;0,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;225635;0,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;225647;0,01%;1;2;Als Provinz (Ebene Regierungsbezirk).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;225383;-0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;225119;-0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;224855;-0,12%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;225531;0,30%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;226208;0,30%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;226888;0,30%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;229395;1,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;231929;1,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;234491;1,10%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;234851;0,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;235211;0,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;235572;0,15%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;238246;1,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;240951;1,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;243686;1,14%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;245237;0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;246799;0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;248370;0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;249951;0,64%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;252429;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;254932;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;257459;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;260012;0,99%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;263353;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;266737;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;270164;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;273636;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;277152;1,28%;1;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;279904;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;282684;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;285491;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;288326;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;291189;0,99%;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;294348;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;297541;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;300768;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;304031;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;307329;1,08%;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;310388;1,00%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
