Bevölkerung: Großherzogtum Hessen-Darmstadt (HED);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Starkenburg (STB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;218345;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;220459;0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;222593;0,97%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;226742;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;230969;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;235274;1,86%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;239151;1,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;243091;1,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;247097;1,65%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;250272;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;253488;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;256745;1,28%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;259030;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;261335;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;263660;0,89%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;266833;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;270044;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;273293;1,20%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;277139;1,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;281038;1,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;284993;1,41%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;289962;1,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;295017;1,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;300160;1,74%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;303847;1,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;307580;1,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;311358;1,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;313258;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;315170;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;317093;0,61%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;317589;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;318086;0,16%;5;;Als Kommissarbezirk der Provinzhauptstadt (Ebene Provinz).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;318584;0,16%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;318739;0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;318895;0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;319050;0,05%;1;2;Als Provinz (Ebene Regierungsbezirk).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;316895;-0,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;314756;-0,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;312630;-0,68%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;314549;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;316480;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;318422;0,61%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;319856;0,45%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;321297;0,45%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;322744;0,45%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;324550;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;326365;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;328191;0,56%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;331068;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;333970;0,88%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;336898;0,88%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;339956;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;343041;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;346155;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;349297;0,91%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;354402;1,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;359582;1,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;364838;1,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;370170;1,46%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;374927;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;379745;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;384625;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;389568;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;394574;1,29%;1;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;396123;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;397677;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;399238;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;400805;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;402378;0,39%;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;405773;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;409197;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;412649;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;416131;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;419642;0,84%;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;424512;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
