Bevölkerung: Kurfürstentum Hessen-Kassel (HEK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Hanau (HAU);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;83988;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;87109;3,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;90345;3,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;93702;3,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;97184;3,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;100795;3,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;104540;3,72%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;105545;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;106560;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;107584;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;108619;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;109663;0,96%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;112201;2,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;114797;2,31%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;115322;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;115849;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;116378;0,46%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;117129;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;117884;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;118645;0,65%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;119877;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;121122;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;122380;1,04%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;123175;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;123976;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;124782;0,65%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;125175;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;125569;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;125964;0,31%;1;3;Formal bestehen die Provinzen in diesem Jahr nicht.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;125123;-0,67%;5;;dto.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;124288;-0,67%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;123458;-0,67%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;122600;-0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;121747;-0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;120901;-0,70%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;121145;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;121390;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;121635;0,20%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;122281;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;122930;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;123583;0,53%;1;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;124208;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;124836;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;125467;0,51%;1;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;126107;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;126750;0,51%;5;;1866 Annexion durch Preußen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Ab 1867 bei Preußen (Reg.Bez. Kassel).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Viebahn, Statistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27: Beiträge Stat. vorm. Kftm. Hessen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
