Bevölkerung: Kurfürstentum Hessen-Kassel (HEK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Niederhessen (NHE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;281597;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;285335;1,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;289122;1,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;292960;1,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;296848;1,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;300789;1,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;304781;1,33%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;308867;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;313007;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;317203;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;321456;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;325765;1,34%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;331711;1,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;337765;1,83%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;340191;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;342634;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;345095;0,72%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;347782;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;350491;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;353220;0,78%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;356014;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;358829;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;361667;0,79%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;363362;0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;365064;0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;366775;0,47%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;365578;-0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;364384;-0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;363195;-0,33%;1;3;Formal bestehen die Provinzen in diesem Jahr nicht.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;363001;-0,05%;5;;dto.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;362806;-0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;362612;-0,05%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;360852;-0,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;359101;-0,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;357358;-0,49%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;355107;-0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;352871;-0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;350648;-0,63%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;352822;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;355010;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;357211;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;359425;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;361654;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;363896;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;366152;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;368422;0,62%;5;;1866 Annexion durch Preußen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Ab 1867 bei Preußen (Reg.Bez. Kassel).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Viebahn, Statistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
