Bevölkerung: Kurfürstentum Hessen-Kassel (HEK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Oberhessen (OHK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;100168;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;101425;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;102698;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;103986;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;105291;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;106612;1,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;107950;1,25%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;109103;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;110267;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;111445;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;112634;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;113837;1,07%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;114556;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;115280;0,63%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;115592;0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;115905;0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;116219;0,27%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;117141;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;118071;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;119008;0,79%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;119887;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;120773;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;121665;0,74%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;121920;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;122176;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;122432;0,21%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;121063;-1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;119709;-1,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;118370;-1,12%;1;3;Formal bestehen die Provinzen in diesem Jahr nicht.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;120294;1,63%;5;;dto.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;122249;1,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;124236;1,63%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;123450;-0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;122669;-0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;121893;-0,63%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;120904;-0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;119923;-0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;118950;-0,81%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;119131;0,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;119312;0,15%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;119493;0,15%;1;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;119528;0,03%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;119563;0,03%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;119598;0,03%;1;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;119634;0,03%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;119670;0,03%;5;;1866 Annexion durch Preußen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Ab 1867 bei Preußen (Reg.Bez. Kassel).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Viebahn, Statistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27: Beiträge Stat. vorm. Kftm. Hessen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
