;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Herzogtum Sachsen-Coburg-Saalfeld (SCS)/ Sachsen-Coburg und Gotha (SCG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Fürstentum Lichtenberg (LIB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;25600;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;26123;2,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;26656;2,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;27200;2,04%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;27627;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;28060;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;28500;1,57%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;28991;1,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;29491;1,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;30000;1,72%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;30443;1,48%;5;;Regierungsbezirk von Sachsen-Coburg und Gotha.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;30893;1,48%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;31350;1,48%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;32029;2,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;32722;2,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;33430;2,16%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;34028;1,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;34637;1,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;35256;1,79%;1;1;1834 Verkauf an Preußen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
