;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Großherzogtum Mecklenburg-Strelitz  (MET) (einschließlich des Fürstentums Ratzeburg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Gesamtgebiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;71764;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;72675;1,27%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;71769;-1,25%;1;1;Zahl laut Bundesmatrikel.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;72900;1,58%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;74000;1,51%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;75200;1,62%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;76300;1,46%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;77500;1,57%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;78700;1,55%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;79967;1,61%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;80900;1,17%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;81800;1,11%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;82700;1,10%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;83613;1,10%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;84200;0,70%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;84800;0,71%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;85400;0,71%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;86000;0,70%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;86570;0,66%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;87100;0,61%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;87700;0,69%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;88345;0,74%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;88900;0,63%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;89528;0,71%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;90000;0,53%;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;90500;0,56%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;91100;0,66%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;91800;0,77%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;92500;0,76%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;93200;0,76%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;93900;0,75%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;94400;0,53%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;94366;-0,04%;1;1;Angabe für Oktober 1848.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;95700;1,41%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;97400;1,78%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;99628;2,29%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;99500;-0,13%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;99400;-0,10%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;99200;-0,20%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;98900;-0,30%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;98700;-0,20%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;98700;0,00%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;98500;-0,20%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;98600;0,10%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;99060;0,47%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;99000;-0,06%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;99000;0,00%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;98900;-0,10%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;99000;0,10%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;99000;0,00%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;98572;-0,43%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;98770;0,20%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;98500;-0,27%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;98000;-0,51%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;97600;-0,41%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;96982;-0,63%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;96600;-0,39%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;96000;-0,62%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;95800;-0,21%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;95673;-0,13%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;96200;0,55%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;97100;0,94%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;98100;1,03%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;99200;1,12%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;100269;1,08%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;100300;0,03%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;99800;-0,50%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;99300;-0,50%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;98700;-0,60%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;98371;-0,33%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;98300;-0,07%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;98200;-0,10%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;98100;-0,10%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;98100;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;97978;-0,12%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;98300;0,33%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;98900;0,61%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;99500;0,61%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;100200;0,70%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;101540;1,34%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;101900;0,35%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;102200;0,29%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;102500;0,29%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;102800;0,29%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;102602;-0,19%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;102800;0,19%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;103100;0,29%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;103300;0,19%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;103400;0,10%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;103451;0,05%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;103900;0,43%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;104600;0,67%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;105200;0,57%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;105800;0,57%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;106442;0,61%;1;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;107000;0,52%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;107000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;107000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;108000;0,93%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Köllmann/Kraus, Bevölkerungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10: Stat. Jb. Dt. Reich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
