Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Gesamtgebiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;13805155;;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;14018501;1,55%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;14202224;1,31%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;14414086;1,49%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;14335404;-0,55%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;14751296;2,90%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;14949717;1,35%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;15183621;1,56%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;15350966;1,10%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;15360791;0,06%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;15444104;0,54%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;15829816;2,50%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;15949586;0,76%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;15851758;-0,61%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;15854496;0,02%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;16002950;0,94%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;16137227;0,84%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;16260818;0,77%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;16374344;0,70%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;16478540;0,64%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;16652121;1,05%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;16855065;1,22%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;17002477;0,87%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;17171955;1,00%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;17379679;1,21%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;17506819;0,73%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;17686818;1,03%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
