Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Böhmen (BOE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;3357137;;1;24;Gubernium und Königreich.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;3411625;1,62%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;3457690;1,35%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;3521540;1,85%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;3558786;1,06%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;3611613;1,48%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;3652063;1,12%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;3710837;1,61%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;3752428;1,12%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;3783305;0,82%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;3807558;0,64%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;3887972;2,11%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;3928341;1,04%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;3952693;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;3977197;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;4001852;0,62%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;4023757;0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;4045782;0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;4067927;0,55%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;4100551;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;4133436;0,80%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;4174168;0,99%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;4199185;0,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;4224351;0,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;4249669;0,60%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;4274812;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;4300105;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;4325547;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;4351139;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;4376883;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;4402779;0,59%;5;;Kronland und Königreich.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;4428828;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;4455032;0,59%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;4505585;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;4556711;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;4608418;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;4660711;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;4713598;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;4767085;1,13%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
