Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Herzogtum Zator (ZAT);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;263548;;5;;Im Deutschen Bund liegender Gebietsteil des Kgr. Galizien,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;266210;1,01%;5;;der im HGIS als eigene Provinz geführt wird.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;268899;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;271615;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;274359;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;277130;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;279929;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;282757;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;285613;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;288498;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;291412;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;294356;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;297329;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;300332;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;303366;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;306430;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;309525;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;312652;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;315810;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;319000;1,01%;3;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;320372;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;321749;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;323133;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;324522;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;325918;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;327319;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;328727;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;330140;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;331560;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;332985;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;334417;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;335855;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;337300;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;338750;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;340207;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;341669;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;343139;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;344614;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;346096;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;347584;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
