Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Küstenland (KUS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;367485;;1;24;Gubernium der Gefürsteten Grafschaft Görz, der Markgrafschaft ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;372150;1,27%;1;24;Istrien und der Stadt Triest.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;379433;1,96%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;386569;1,88%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;392239;1,47%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;397998;1,47%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;407721;2,44%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;415861;2,00%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;418200;0,56%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;420503;0,55%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;424614;0,98%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;429273;1,10%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;435094;1,36%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;438475;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;441883;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;445317;0,78%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;451821;1,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;458420;1,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;465116;1,46%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;472767;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;480543;1,64%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;481189;0,13%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;482275;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;483364;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;484455;0,23%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;495032;2,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;505840;2,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;516884;2,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;528169;2,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;539701;2,18%;5;;Kronland der oben genannten Gebiete.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;551484;2,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;563525;2,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;575828;2,18%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;569598;-1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;563436;-1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;557340;-1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;551310;-1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;545346;-1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;539446;-1,08%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
