Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Mähren und Schlesien (MUS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;1794947;;1;24;Gubernium beider Gebiete.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;1825413;1,70%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;1850854;1,39%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;1877487;1,44%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;1895956;0,98%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1922911;1,42%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;1948244;1,32%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;1971721;1,21%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;1995290;1,20%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;2011479;0,81%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;2023593;0,60%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;2079758;2,78%;1;24;Bevölkerungszuwachs i.d. Quelle nicht erläutert.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;2097505;0,85%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;2101709;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;2105921;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;2110141;0,20%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;2112505;0,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;2114872;0,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;2117242;0,11%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;2135703;0,87%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;2154324;0,87%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;2166638;0,57%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;2176568;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;2186543;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;2196564;0,46%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;2206668;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;2216819;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;2227016;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;2237261;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;2247552;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24: Becher, Bevölkerung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
