Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Oberösterreich (OOE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;788058;;1;24;Landesregierung und Erzherzogtum. Einschl. Salzburg bis 1848.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;794298;0,79%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;795729;0,18%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;802856;0,90%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;806676;0,48%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;814203;0,93%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;818823;0,57%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;823800;0,61%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;827865;0,49%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;826043;-0,22%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;828335;0,28%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;832777;0,54%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;837057;0,51%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;840352;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;843661;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;846982;0,39%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;847339;0,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;847697;0,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;848054;0,04%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;849589;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;851127;0,18%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;857568;0,76%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;855473;-0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;853383;-0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;851298;-0,24%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;849255;-0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;847217;-0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;845183;-0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;843155;-0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;841131;-0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;690366;-17,92%;5;;Kronland (ohne Salzburg) und Erzherzogtum. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;703026;1,83%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;715919;1,83%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;716046;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;716174;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;716301;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;716429;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;716556;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;716684;0,02%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
