Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Schlesien (SLO);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;438566;;5;;Kronland und Herzogtum.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;440593;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;442629;0,46%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;443353;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;444078;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;444804;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;445532;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;446260;0,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;446990;0,16%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;452176;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;457422;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;462729;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;468098;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;473529;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;479023;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;484581;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;490203;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;495891;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23: Bolognese-Leuchtenmüller, Bevölkerungsentwicklung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
