Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Steiermark (STM);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;970428;;5;24;Gubernium und Herzogtum, einschl. Klagenfurter Kreis.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;973479;0,31%;5;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;980921;0,76%;5;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;990093;0,94%;5;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;992739;0,27%;5;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;1004532;1,19%;5;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;837537;-16,62%;1;24;Neueinteilung: Klagenfurter Kreis zur Prov. Laibach.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;846412;1,06%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;856718;1,22%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;840386;-1,91%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;841894;0,18%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;907516;7,79%;1;24;Bevölkerungszuwachs i.d. Quelle nicht erläutert.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;913810;0,69%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;917155;0,37%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;920512;0,37%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;923882;0,37%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;933839;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;943903;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;954076;1,08%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;959283;0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;964518;0,55%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;975309;1,12%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;975627;0,03%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;975945;0,03%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;976263;0,03%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;982220;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;988213;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;994243;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;1000309;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;1006413;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;1012554;0,61%;5;;Kronland und Herzogtum.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;1018732;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;1024948;0,61%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;1032670;0,75%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;1040451;0,75%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;1048290;0,75%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;1056188;0,75%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
