Bevölkerung: Kaiserreich Österreich (OES);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Provinz Tirol und Vorarlberg (TUV);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;736731;;1;24;"Gubernium ""Tirol und Vorarlberg"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;741828;0,69%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;741696;-0,02%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;748212;0,88%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;754129;0,79%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;759928;0,77%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;769763;1,29%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;778658;1,16%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;780311;0,21%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;783465;0,40%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;787987;0,58%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;801750;1,75%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;807938;0,77%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;814451;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;821017;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;827635;0,81%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;827717;0,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;827798;0,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;827880;0,01%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;832280;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;836703;0,53%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;839755;0,36%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;840953;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;842153;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;843355;0,14%;1;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;846308;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;849272;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;852246;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;855230;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;858225;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;861231;0,35%;5;;"Kronland ""Gefürstete Grafschaft Tirol und Land Vorarlberg"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;864247;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;867273;0,35%;1;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;866099;-0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;864926;-0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;863754;-0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
