Bevölkerung: Großherzogtum Oldenburg (OLD);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Fürstentum Birkenfeld (BIF);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1815;19860;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;20134;1,38%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;20344;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;20555;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;20769;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;20986;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;21204;1,04%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;21481;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;21762;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;22046;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;22335;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;22627;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;22922;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;23222;1,31%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;23539;1,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;23860;1,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;24185;1,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;24515;1,36%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;25535;4,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;26597;4,16%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;26645;0,18%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;27576;3,49%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;27651;0,27%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;27858;0,75%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;28188;1,18%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;28669;1,71%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;28863;0,68%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
