Bevölkerung: Großherzogtum Oldenburg (OLD);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Fürstentum Lübeck (LBE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;18537;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;18589;0,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;18640;0,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;18692;0,28%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;18753;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;18815;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;18877;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;18938;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;19001;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;19063;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;19125;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;19188;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;19251;0,33%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;19297;0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;19343;0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;19389;0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;19435;0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;19482;0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;19528;0,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;19575;0,24%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;19700;0,64%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;19853;0,78%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;19941;0,44%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;20487;2,74%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;20479;-0,04%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;20936;2,23%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;21336;1,91%;1;1;Grenzregulierung zw. Oldenburg und Dänemark.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
