;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Gesamtgebiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;10349031;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;10572795;2,16%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;10796874;2,12%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;10981934;1,71%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;11272482;2,65%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;11480815;1,85%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;11664133;1,60%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;11843870;1,54%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;12031694;1,59%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;12256725;1,87%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;12427216;1,39%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;12556502;1,04%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;12726110;1,35%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;12857438;1,03%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;12988172;1,02%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;13038960;0,39%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;13138683;0,76%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;13303160;1,25%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;13509927;1,55%;1;1;Erwerb des Fürstentums Lichtenberg (Kreis St. Wendel).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;13708195;1,47%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;13931103;1,63%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;14098125;1,20%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;14385679;2,04%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;14645599;1,81%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;14928501;1,93%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;15110721;1,22%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;15305213;1,29%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;15471084;1,08%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;15808742;2,18%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;15941155;0,84%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;16112938;1,08%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;16157121;0,27%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;16165387;0,05%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;16331187;1,03%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;16608039;1,70%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;16829440;1,33%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;16935420;0,63%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;17044676;0,65%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;17164145;0,70%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;17202831;0,23%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;17349645;0,85%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;17530353;1,04%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;17839913;1,77%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;17994153;0,86%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;18264706;1,50%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;18491220;1,24%;1;1;Ohne Militärbevölkerung (268372 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;18732555;1,31%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;18992681;1,39%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;19255139;1,38%;1;1;Ohne Militärbevölkerung (279421 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;19445174;0,99%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;22787557;17,19%;5;1;Einschl. vorm. Fürstentum Hessen-Homburg, Nassau, Hessen-Kassel, vorm. Kgr. Hannover und der vorm. Freien Stadt Frankfurt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;23971462;5,20%;5;1;Einschl. vorm. Herzogtum Holstein und Schleswig.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;24119953;0,62%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;24336174;0,90%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;24568430;0,95%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;24639706;0,29%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;24816068;0,72%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;25044627;0,92%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;25376541;1,33%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;25693634;1,25%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;25943900;0,97%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;26280100;1,30%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;26594300;1,20%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;26908800;1,18%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;27279111;1,38%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;27394900;0,42%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;27573400;0,65%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;27766300;0,70%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;27976000;0,76%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;28318470;1,22%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;28489400;0,60%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;28797500;1,08%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;29146200;1,21%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;29504000;1,23%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;29955281;1,53%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;30178600;0,75%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;30513200;1,11%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;30840600;1,07%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;31229700;1,26%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;31855123;2,00%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;32155400;0,94%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;32676900;1,62%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;33220000;1,66%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;33759600;1,62%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;34472509;2,11%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;34802000;0,96%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;35385200;1,68%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;35953800;1,61%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;36515900;1,56%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;37293324;2,13%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;37634600;0,92%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;38209600;1,53%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;38778100;1,49%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;39349700;1,47%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;40165219;2,07%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;40460000;0,73%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;40990000;1,31%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;41550000;1,37%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;42103000;1,33%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Köllmann/Kraus, Bevölkerungsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
