Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Gumbinnen (GUM);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;353527;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;372445;5,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;392376;5,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;413373;5,35%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;426253;3,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;439534;3,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;453229;3,12%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;462144;1,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;471235;1,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;480505;1,97%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;490461;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;500623;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;510996;2,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;516313;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;521686;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;527115;1,04%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;531972;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;536874;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;541821;0,92%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;547224;1,00%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;552681;1,00%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;558192;1,00%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;571070;2,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;584246;2,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;597725;2,31%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;604914;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;612190;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;619553;1,20%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;623792;0,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;628059;0,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;632356;0,68%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;626193;-0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;620090;-0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;614047;-0,97%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;623293;1,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;632678;1,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;642205;1,51%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;641747;-0,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;641289;-0,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;640831;-0,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;650663;1,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;660647;1,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;670783;1,53%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;678946;1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;687208;1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;695571;1,22%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;706012;1,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;716609;1,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;727366;1,50%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;733124;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;738928;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;744778;0,79%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;744264;-0,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;743750;-0,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;743237;-0,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;742724;-0,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;745718;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;748725;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;751743;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;754774;0,40%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;759439;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;764134;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;768857;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;773609;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;778391;0,62%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;780374;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;782363;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;784357;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;786355;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;788359;0,25%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;787990;-0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;787620;-0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;787251;-0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;786883;-0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;786514;-0,05%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;789654;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;792807;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;795972;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;799150;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;802340;0,40%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;800310;-0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;798285;-0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;796265;-0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;794250;-0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;792240;-0,25%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;793890;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;795543;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;797200;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;798860;0,21%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;603485;-24,46%;1;9;Abgabe von Gebietsteilen an den neuen Reg.Bez. Allenstein.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;604104;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;604724;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;605344;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;605965;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;606587;0,10%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;607000;0,07%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;608000;0,16%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;609000;0,16%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;610000;0,16%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
