;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Königsberg (KNB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;532647;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;551792;3,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;571624;3,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;592170;3,59%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;609022;2,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;626353;2,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;644178;2,85%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;656817;1,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;669704;1,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;682844;1,96%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;690202;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;697640;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;705158;1,08%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;708904;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;712670;0,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;716456;0,53%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;720052;0,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;723667;0,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;727299;0,50%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;733631;0,87%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;740019;0,87%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;746462;0,87%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;762643;2,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;779175;2,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;796065;2,17%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;804600;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;813227;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;821946;1,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;830525;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;839193;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;847952;1,04%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;847867;-0,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;847783;-0,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;847698;-0,01%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;861269;1,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;875058;1,60%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;889067;1,60%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;893226;0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;897405;0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;901603;0,47%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;913595;1,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;925746;1,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;938059;1,33%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;952772;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;967716;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;982894;1,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;999678;1,71%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;1016749;1,71%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;1034111;1,71%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;1043764;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;1053506;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;1063340;0,93%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;1067533;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;1071742;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;1075968;0,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;1080210;0,39%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;1085530;0,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;1090876;0,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;1096248;0,49%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;1101647;0,49%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;1112222;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;1122898;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;1133676;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;1144558;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;1155545;0,96%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;1158643;0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;1161748;0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;1164863;0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;1167985;0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;1171116;0,27%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;1171323;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;1171529;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;1171736;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;1171942;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;1172149;0,02%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;1178519;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;1184924;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;1191364;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;1197839;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;1204349;0,54%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;1204356;0,00%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;1204364;0,00%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;1204371;0,00%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;1204379;0,00%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;1204386;0,00%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;1209397;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;1214429;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;1219483;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;1224557;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;893427;-27,04%;1;9;Abgabe von Gebietsteilen an den neuen Reg.Bez. Allenstein.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;897528;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;901647;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;905785;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;909943;0,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;914119;0,46%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;917000;0,32%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;922000;0,55%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;926000;0,43%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;931000;0,54%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
