Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Stettin (STE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;316718;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;324627;2,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;332733;2,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;341041;2,50%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;352497;3,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;364337;3,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;376575;3,36%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;383982;1,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;391534;1,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;399235;1,97%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;404836;1,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;410515;1,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;416274;1,40%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;421637;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;427068;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;432570;1,29%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;436343;0,87%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;440150;0,87%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;443989;0,87%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;450704;1,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;457520;1,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;464440;1,51%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;473565;1,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;482870;1,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;492357;1,96%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;500606;1,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;508994;1,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;517522;1,68%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;527473;1,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;537615;1,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;547952;1,92%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;552637;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;557362;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;562127;0,85%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;571406;1,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;580838;1,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;590426;1,65%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;595706;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;601034;0,89%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;606409;0,89%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;612128;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;617901;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;623729;0,94%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;633971;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;644382;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;654963;1,64%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;662437;1,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;669996;1,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;677641;1,14%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;676959;-0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;676277;-0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;675596;-0,10%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;674451;-0,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;673309;-0,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;672168;-0,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;671029;-0,17%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;677122;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;683270;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;689474;0,91%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;695734;0,91%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;703949;1,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;712260;1,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;720670;1,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;729179;1,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;737789;1,18%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;735830;-0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;733876;-0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;731928;-0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;729984;-0,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;728046;-0,27%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;732193;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;736363;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;740557;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;744775;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;749017;0,57%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;756123;0,95%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;763297;0,95%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;770539;0,95%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;777849;0,95%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;785229;0,95%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;794121;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;803114;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;812209;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;821407;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;830709;1,13%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;836059;0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;841444;0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;846863;0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;852318;0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;857807;0,64%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;860612;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;863427;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;866250;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;869083;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;871925;0,33%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;873000;0,12%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;875000;0,23%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;878000;0,34%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;881000;0,34%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
