Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Stralsund (STR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;128493;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;130150;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;131828;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;133528;1,29%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;135642;1,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;137789;1,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;139970;1,58%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;141699;1,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;143449;1,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;145221;1,24%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;146453;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;147695;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;148948;0,85%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;149416;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;149885;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;150355;0,31%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;151542;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;152739;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;153945;0,79%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;156076;1,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;158237;1,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;160428;1,38%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;163829;2,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;167302;2,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;170848;2,12%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;172457;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;174082;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;175722;0,94%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;178109;1,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;180529;1,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;182981;1,36%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;184330;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;185689;0,74%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;187058;0,74%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;189669;1,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;192317;1,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;195001;1,40%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;196137;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;197279;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;198428;0,58%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;199975;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;201535;0,78%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;203106;0,78%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;205596;1,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;208117;1,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;210668;1,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;212474;0,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;214296;0,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;216133;0,86%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;215947;-0,09%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;215761;-0,09%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;215575;-0,09%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;213743;-0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;211927;-0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;210126;-0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;208341;-0,85%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;208437;0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;208533;0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;208629;0,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;208725;0,05%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;210185;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;211656;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;213137;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;214628;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;216130;0,70%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;214924;-0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;213724;-0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;212531;-0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;211345;-0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;210165;-0,56%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;209791;-0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;209418;-0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;209046;-0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;208674;-0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;208303;-0,18%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;209509;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;210723;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;211943;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;213170;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;214405;0,58%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;214791;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;215177;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;215564;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;215952;0,18%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;216340;0,18%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;217156;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;217974;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;218796;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;219621;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;220449;0,38%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;221381;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;222317;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;223256;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;224200;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;225148;0,42%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;226000;0,38%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;226000;0,00%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;227000;0,44%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;228000;0,44%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
