Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Posen (POR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;575341;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;584937;1,67%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;594693;1,67%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;604612;1,67%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;621099;2,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;638036;2,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;655434;2,73%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;674019;2,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;693132;2,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;712786;2,84%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;718761;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;724786;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;730862;0,84%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;730590;-0,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;730319;-0,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;730047;-0,04%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;739341;1,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;748752;1,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;758284;1,27%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;768250;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;778348;1,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;788578;1,31%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;800496;1,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;812594;1,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;824875;1,51%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;835522;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;846306;1,29%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;857230;1,29%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;871395;1,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;885793;1,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;900430;1,65%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;899545;-0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;898660;-0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;897777;-0,10%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;900756;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;903744;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;906743;0,33%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;907678;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;908614;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;909551;0,10%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;912432;0,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;915323;0,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;918222;0,32%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;933054;1,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;948126;1,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;963441;1,62%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;968358;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;973300;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;978268;0,51%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;980985;0,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;983710;0,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;986443;0,28%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;994042;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;1001701;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;1009418;0,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;1017194;0,77%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;1021307;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;1025437;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;1029584;0,40%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;1033747;0,40%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;1045884;1,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;1058163;1,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;1070587;1,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;1083156;1,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;1095873;1,17%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;1098081;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;1100294;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;1102511;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;1104733;0,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;1106959;0,20%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;1110858;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;1114770;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;1118697;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;1122637;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;1126591;0,35%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;1135764;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;1145012;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;1154336;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;1163735;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;1173211;0,81%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;1178177;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;1183164;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;1188172;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;1193201;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;1198252;0,42%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;1210868;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;1223616;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;1236499;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;1249517;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;1262672;1,05%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;1276986;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;1291463;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;1306103;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;1320910;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;1335884;1,13%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;1345000;0,68%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;1359000;1,04%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;1373000;1,03%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;1386000;0,95%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
