Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Trier (TRI) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;299372;;1;2;Provinz Niederrhein.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;305568;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;311892;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;318347;2,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;323177;1,52%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;328080;1,52%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;333057;1,52%;1;2;Ab 1822 Rheinprovinz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;338830;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;344704;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;350679;1,73%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;355862;1,48%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;361121;1,48%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;366458;1,48%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;374276;2,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;382260;2,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;390415;2,13%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;394261;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;398146;0,99%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;437324;9,84%;1;2;Einschl. des vorm. Fürstentums Lichtenberg (Kreis St. Wendel).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;440459;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;443616;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;446796;0,72%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;454544;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;462425;1,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;470444;1,73%;1;2;Einschl. preuß. Militär in Luxemburg (5118 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;473061;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;475692;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;478338;0,56%;1;2;Einschl. preuß. Militär in Luxemburg (4184 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;481767;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;485221;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;488699;0,72%;1;2;Einschl. preuß. Militär in Luxemburg (4705 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;492690;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;496714;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;500770;0,82%;1;2;Einschl. preuß. Militär in Luxemburg (5588 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;503699;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;506646;0,58%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;509610;0,58%;1;2;Einschl. preuß. Militär in Luxemburg (4858 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;510208;0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;510807;0,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;511406;0,12%;1;2;Einschl. preuß. Militär in Luxemburg (4871 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;516881;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;522415;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;528008;1,07%;1;2;Einschl. preuß. Militär in Luxemburg (4852 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;534999;1,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;542082;1,32%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;549259;1,32%;1;2;Einschl. preuß. Militär in Luxemburg (4990 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;555777;1,19%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;562372;1,19%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;569046;1,19%;1;2;Einschl. preuß. Militär in Luxemburg (4956 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;572308;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;575589;0,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;578889;0,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;582032;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;585191;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;588368;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;591562;0,54%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;597363;0,98%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;603222;0,98%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;609137;0,98%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;615111;0,98%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;622232;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;629435;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;636721;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;644092;1,16%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;651548;1,16%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;656216;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;660918;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;665653;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;670422;0,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;675225;0,72%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;682424;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;689701;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;697054;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;704487;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;711998;1,07%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;722947;1,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;734064;1,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;745352;1,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;756813;1,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;768451;1,54%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;782385;1,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;796572;1,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;811017;1,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;825723;1,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;840696;1,81%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;858030;2,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;875722;2,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;893778;2,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;912207;2,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;931016;2,06%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;946140;1,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;961510;1,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;977130;1,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;993003;1,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;1009134;1,62%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;1018000;0,88%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;1033000;1,47%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;1049000;1,55%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;1064000;1,43%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
