Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Merseburg (MRB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;491117;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;502323;2,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;513784;2,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;525507;2,28%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;532908;1,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;540413;1,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;548024;1,41%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;553921;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;559882;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;565907;1,08%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;572308;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;578781;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;585327;1,13%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;591585;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;597910;1,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;604303;1,07%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;609771;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;615289;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;620856;0,90%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;631259;1,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;641836;1,68%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;652591;1,68%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;662800;1,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;673169;1,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;683700;1,56%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;689431;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;695210;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;701037;0,84%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;708833;1,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;716716;1,11%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;724686;1,11%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;730747;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;736859;0,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;743022;0,84%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;749846;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;756733;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;763683;0,92%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;769723;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;775811;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;781947;0,79%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;789924;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;797983;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;806124;1,02%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;814648;1,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;823263;1,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;831968;1,06%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;840687;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;849497;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;858399;1,05%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;860545;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;862696;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;864853;0,25%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;868425;0,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;872012;0,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;875613;0,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;879230;0,41%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;885341;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;891495;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;897691;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;903931;0,70%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;916982;1,44%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;930222;1,44%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;943652;1,44%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;957277;1,44%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;971098;1,44%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;982073;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;993172;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;1004397;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;1015748;1,13%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;1027228;1,13%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;1036719;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;1046298;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;1055965;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;1065722;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;1075569;0,92%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;1086099;0,98%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;1096732;0,98%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;1107469;0,98%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;1118311;0,98%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;1129259;0,98%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;1141120;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;1153106;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;1165218;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;1177457;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;1189825;1,05%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;1202673;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;1215659;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;1228785;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;1242054;1,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;1255465;1,08%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;1266093;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;1276810;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;1287618;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;1298518;0,85%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;1309510;0,85%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;1314000;0,34%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;1322000;0,61%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;1332000;0,76%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;1341000;0,68%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
