Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Liegnitz (LEG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;656837;;1;2;Einschl. der Bevölkerung eines Teils des vormaligen Reg.Bez. Reichenbach.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;660219;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;663618;0,51%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;667035;0,51%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;677451;1,56%;5;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;688030;1,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;698774;1,56%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;704327;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;709924;0,79%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;737477;3,88%;1;2;Kreis Hoyerswerda, mit 21912 (1822) Einwohnern, zum Reg.Bez. Liegnitz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;744907;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;752412;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;759993;1,01%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;764465;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;768964;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;773489;0,59%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;781585;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;789766;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;798032;1,05%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;813160;1,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;828574;1,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;844281;1,90%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;852209;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;860211;0,94%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;868288;0,94%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;876139;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;884062;0,90%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;892056;0,90%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;898818;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;905632;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;912497;0,76%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;916396;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;920311;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;924243;0,43%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;929653;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;935094;0,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;940567;0,59%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;940746;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;940925;0,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;941104;0,02%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;941669;0,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;942235;0,06%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;942801;0,06%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;947475;0,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;952172;0,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;956892;0,50%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;962213;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;967564;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;972945;0,56%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;975225;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;977510;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;979800;0,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;980604;0,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;981409;0,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;982214;0,08%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;983020;0,08%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;986022;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;989033;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;992053;0,31%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;995083;0,31%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;1000475;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;1005896;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;1011347;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;1016827;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;1022337;0,54%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;1024932;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;1027533;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;1030141;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;1032755;0,25%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;1035376;0,25%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;1037771;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;1040171;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;1042577;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;1044988;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;1047405;0,23%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;1051343;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;1055296;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;1059263;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;1063246;0,38%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;1067243;0,38%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;1074299;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;1081401;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;1088551;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;1095748;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;1102992;0,66%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;1108957;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;1114954;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;1120984;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;1127046;0,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;1133141;0,54%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;1141699;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;1150322;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;1159010;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;1167763;0,76%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;1176583;0,76%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;1180000;0,29%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;1187000;0,59%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;1194000;0,59%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;1204000;0,84%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
