Bevölkerung: Königreich Preußen (PRE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Regierungsbezirk Danzig (DAN);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;237980;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;246846;3,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;256043;3,73%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;265582;3,73%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;274985;3,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;284722;3,54%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;294803;3,54%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;302045;2,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;309464;2,46%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;317066;2,46%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;321300;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;325590;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;329938;1,34%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;328804;-0,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;327675;-0,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;326549;-0,34%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;328576;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;330615;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;332667;0,62%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;338095;1,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;343611;1,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;349218;1,63%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;354946;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;360768;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;366685;1,64%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;373434;1,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;380307;1,84%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;387306;1,84%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;393377;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;399543;1,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;405805;1,57%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;406194;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;406583;0,10%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;406972;0,10%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;412547;1,37%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;418199;1,37%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;423928;1,37%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;427880;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;431870;0,93%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;435896;0,93%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;441728;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;447637;1,34%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;453626;1,34%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;460826;1,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;468140;1,59%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;475570;1,59%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;484485;1,87%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;493567;1,87%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;502820;1,87%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;506920;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;511054;0,82%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;515222;0,82%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1868;517652;0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1869;520094;0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1870;522547;0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1871;525012;0,47%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1872;529286;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1873;533594;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1874;537937;0,81%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1875;542316;0,81%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1876;547586;0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1877;552906;0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1878;558279;0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1879;563704;0,97%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1880;569181;0,97%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1881;571086;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1882;572997;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1883;574915;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1884;576839;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1885;578770;0,33%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1886;580836;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1887;582910;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1888;584991;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1889;587080;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1890;589176;0,36%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1891;594849;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1892;600576;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1893;606358;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1894;612196;0,96%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1895;618090;0,96%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1896;627387;1,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1897;636823;1,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1898;646401;1,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1899;656123;1,50%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;665992;1,50%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;674439;1,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;682993;1,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;691656;1,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;700428;1,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;709312;1,27%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;715852;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;722452;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;729113;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;735835;0,92%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;742619;0,92%;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;748000;0,72%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;755000;0,94%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;763000;1,06%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;771000;1,05%;2;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Volkszahl seit 1816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9: Galloway/Hammel, Demographic behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
