;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Königreich Sachsen (SAC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Kreishauptmannschaft Chemnitz (CHE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1900;792393;;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1901;797513;0,65%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1902;810595;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1903;823892;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1904;837407;1,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1905;851143;1,64%;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1906;859890;1,03%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1907;869400;1,11%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1908;888605;2,21%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1909;900575;1,35%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1910;920543;2,22%;1;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1911;928056;0,82%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1912;942501;1,56%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1913;956300;1,46%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1914;965000;0,91%;2;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11: Vierteljahrshefte Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12: Stat. Dt. Reichs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
