Bevölkerung: Königreich Sachsen (SAC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Erzgebirgischer Kreis (ERZ);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;432070;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;436566;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;441021;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;447782;1,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;453404;1,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;458726;1,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;466611;1,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;472566;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;475227;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;484086;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;489025;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;490841;0,37%;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;518181;5,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;545489;5,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;549307;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;558590;1,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8: Mitt. d. stat. Vereins Sachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
