Bevölkerung: Königreich Sachsen (SAC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Markgrafschaft Oberlausitz (OBE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;181448;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;183336;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;185207;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;188046;1,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;190407;1,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;192642;1,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;195954;1,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;198454;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;199572;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;203292;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;205366;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;206129;0,37%;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;217610;5,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;229078;5,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;230682;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;234581;1,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8: Mitt. d. stat. Vereins Sachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
