Bevölkerung: Königreich Sachsen (SAC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Vogtländischer Kreis (VOG);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;89158;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;90085;1,04%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;91005;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;92400;1,53%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;93560;1,26%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;94658;1,17%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;96285;1,72%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;97514;1,28%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;98063;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;99891;1,86%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;100910;1,02%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;101285;0,37%;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;106927;5,57%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;112562;5,27%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;113350;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;115266;1,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8: Mitt. d. stat. Vereins Sachsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1: Amtliche Zahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2: Amtliche Berechnung oder Schätzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3: Nichtamtliche Berechnung oder Schätzung (zeitgenössisch);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4: Interpolierte oder sonstig errechnete Zahl (neuere Literatur);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5: Interpolierte oder sonstig errechnete Zahl (HGIS Germany);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
