Bevölkerung: Königreich Sachsen (SAC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Kreisdirektion/ Kreishauptmannschaft Zwickau (ZWI);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;549811;;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;561205;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;572836;2,07%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;584707;2,07%;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;592836;1,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;601078;1,39%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;609434;1,39%;1;2;Ohne Militärpersonen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;617787;1,37%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;626254;1,37%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;634838;1,37%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;646064;1,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;657488;1,77%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;669114;1,77%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;677396;1,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;685780;1,24%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;694268;1,24%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;708994;2,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;724032;2,12%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;739389;2,12%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
