Bevölkerung: Fürstentum Waldeck (mit Pyrmont) (WAL);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Gesamtgebiet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1816;52557;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;52216;-0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1818;51877;-0,65%;1;1;Zahl laut Bundesmatrikel.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1819;53251;2,65%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;53601;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;53954;0,66%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;54309;0,66%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;54690;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;55074;0,70%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;55461;0,70%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;56020;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;56585;1,01%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;57156;1,01%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;57475;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;57795;0,56%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;58117;0,56%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;58307;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;58498;0,33%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;58690;0,33%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;57976;-1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;57271;-1,22%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;56575;-1,22%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;57171;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;57773;1,05%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;58381;1,05%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;58400;0,03%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;58400;0,00%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;58753;0,60%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;58500;-0,43%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;57300;-2,05%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;57602;0,53%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;57600;0,00%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;57800;0,35%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;58219;0,72%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;58500;0,48%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;59100;1,03%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;59697;1,01%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;59500;-0,33%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;59000;-0,84%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;58132;-1,47%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;58100;-0,06%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;57900;-0,34%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;57550;-0,60%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;57800;0,43%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;58200;0,69%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;58604;0,69%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;58700;0,16%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;58800;0,17%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1864;59143;0,58%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1865;58900;-0,41%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1866;58400;-0,85%;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1867;57495;-1,55%;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
