Bevölkerung: Königreich Württemberg (WUE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Donaukreis (DOK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;338800;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;340127;0,39%;1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;342266;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;344418;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;346584;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;348764;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;350957;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;353164;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;355385;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;357620;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;359869;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;362132;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;364409;0,63%;1;2;Ortsangehörige Bevölkerung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;363703;-0,19%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;362999;-0,19%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;365893;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;368810;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;371750;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;374713;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;377700;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;380711;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;383746;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;386805;0,80%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;389889;0,80%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;394568;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;399303;1,20%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;404095;1,20%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;406612;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;409144;0,62%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;411692;0,62%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;412275;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;412859;0,14%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;413444;0,14%;1;2;Einschl. österreichische Garnison in Ulm (1852: 360 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;410805;-0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;408183;-0,64%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;405577;-0,64%;1;2;Einschl. österreichische Garnison in Ulm (1855: 346 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;406980;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;408389;0,35%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;409802;0,35%;1;2;Einschl. österreichische Garnison in Ulm (1858: 318 Personen).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;411496;0,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;413196;0,41%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;414904;0,41%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;416698;0,43%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
