Bevölkerung: Königreich Württemberg (WUE);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebiet: Jagstkreis (JGK);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jahr;Einwohnerzahl ;W-Rate;Wert;Quelle;Anmerkung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1820;326100;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1821;328858;0,85%;1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1822;330993;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1823;333143;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1824;335306;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;337483;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1826;339675;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1827;341880;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828;344100;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1829;346334;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1830;348583;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1831;350847;0,65%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1832;353125;0,65%;1;2;Ortsangehörige Bevölkerung.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1833;351448;-0,47%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1834;349779;-0,47%;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1835;351911;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836;354057;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1837;356215;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1838;358387;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1839;360572;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1840;362770;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1841;364981;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1842;367206;0,61%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1843;369445;0,61%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;371766;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1845;374102;0,63%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1846;376453;0,63%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1847;378021;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;379596;0,42%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1849;381178;0,42%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850;379078;-0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1851;376990;-0,55%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1852;374913;-0,55%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1853;372090;-0,75%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1854;369289;-0,75%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1855;366508;-0,75%;1;2;Einschl. des Weilers Rossach.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1856;367339;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1857;368171;0,23%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1858;369006;0,23%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1859;371570;0,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1860;374153;0,69%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1861;376753;0,69%;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1862;378119;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1863;379490;0,36%;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
